TIPO,ESCOLA,TELEFONE,RAMAL,WHATSAPP,ENDEREÇO,BAIRRO
EMEIEF,Eneias Raimundo da Silva - Prof.,"4198-7855,4706-1056","1050 , 1070 , 1071, 1072 , 1073 , 1074,4706-1056",(11) 4198-7855,"Est. Dr. Cicero Borges Moraes, 2.371",Bairro dos Altos
O.S. MATERNAIS,Evelyn Mosse Barreiro (Inst. Verus),4198-9333,,,"Estr. Dr. Cícero Borges de Morais, 71",Bairro dos Altos
EMEF,João Tiburcio Silva Filho,"4168-5707,4168-5238",,(11) 4168-5707,"R. Cambuci, 189",Chácaras Marco
EMMEI,Eliane Castanon Pereira,"4168-2085,4168-2059",,(11 ) 4168-2085,"Rua Sumaré, 90",Chácaras Marco
EMEF,Armando Cavazza (EJA),"4168-4296,4161-6045",,(11) 4168-4296,"R. São Paulo, 706",Engenho Novo
EMEF,Jorge Augusto de Camargo-Prof.,4168-4219,700,(11) 4168-4219,"Rua Cafelândia, 924",Engenho Novo
EMEF,Luiz de Oliveira Andrade - Pe,"4168-3217,4168-3605"," 860,861,862",(11) 4168-3217,"R. Maria Helena, 191",Engenho Novo
EMEF,Sandro Luiz Braga,"4161-2256,4161-5413"," 91120,91121,91122",(11) 4161-2256,"R. Nina, 300",Engenho Novo
EMEI,Takechi Takau,4161-4499,"1540, 1542, 1543)",(11) 4161-4499,"Rua Tiete, 1026",Engenho Novo
EMMEI,Maria Dolores Zendron Penteado,"4161-4320,4161-4330","1060,4161-4330",(11) 4161-4320,"R. Marechal Hermes da Fonseca, 41",Engenho Novo
O.S. MATERNAIS,Valdinéia de Fátima Cassoli (Inst. Alvorada),4706-1671,,,"Rua Duque de Caxias, 150",Engenho Novo
EMMEI,Thomaz Victoria Rodrigues,4194-1610,,(11 ) 4194-1610,"Rua Marelisa,155",Jardim Audir
O.S. MATERNAIS,Egle Aparecida Rodrigues Campos (Instituto Verus),"4247-2449,4247-2450",,,"Estrada do Exercito Brasileiro,920",Jardim Audir
EMEF,Aristides da Costa e Silva-Prof.,"4198-1208,4163-2831",,(11) 4198-1208,"Av.Henrique Gonçalves Baptista, 1.097",Jardim Belval
EMEF,Ezio Berzaghi,"4199-0864,4199-0851",,(11) 4199-0851,"Av.Henrique Gonçalves Baptista, 1.101",Jardim Belval
EMEF,Naly Benedicta B. C. Mancini- Profª,"4198-5999,4163-4719",,(11) 4163-4719,"R. Princesa Isabel, 145",Jardim Belval
EMEIEF,Elisabet Titto - Ver.,5570-2021,"91321,91322",(11) 5570-2021,"Rua Ricardo Peagno, 52",Jardim Belval
EMEI,Ricardo Peagno,"4198-0786,4706-1051",,(11) 4706-1051,"R. Av. Pref. João Vilallobo Quero, 1.379",Jardim Belval
O.S. MATERNAIS,Aparecida Conceição S. Akyama (Instituto Verus),4163-6527,,,"Av.Henrique Gonçalves Baptista, 1.796",Jardim Belval
O.S. MATERNAIS,Aracy Martins de Lima (Inst. PROJAB),"4375-4419,4375-4420",,,"Av.Henrique Gonçalves Baptista,453",Jardim Belval
O.S. MATERNAIS,Luzia Maria da Conceição Lima (Inst. PROJAB),"4162-0332,4162-0310",,,"Rua Rio Barueri, 175",Jardim Belval
EMEF,Egídio Costa - Prof.,"4163-6064,4163-5761",,(11) 4163-6064,"R. Ponte de Pedras, 60",Jardim Califórnia
EMEI,Renaldo Cruz - Padre,"4162-4417,4162-4413",,(11) 4162-4417,"R. Goiânia, 187",Jardim do Líbano
EMEF,Ivani Maria Paes - Prof.ª,4163-4109,,(11) 4163-4109,"Rua Ivani Maria Paes, 21",Jardim dos Camargos
O.S. MATERNAIS,Matilde Abreu de Moraes (Instituto Verus),4198-8647,,,"Rua Rubro, nº 416",Jardim dos Camargos
EMEI,Guilherme A. Siqueira- Cap.,4168-1426,,(11) 4168-1426,"R. Dempachi Nakayama, 302",Jardim Esperança
EMEF,Carlos Osmarinho de Lima - Prof. (Compl.),4163-4047,,(11) 4163-4047,"Rua das Margaridas, 182",Jardim Flórida
EMEI,Carlos Osmarinho de Lima - Prof. (Compl.),4163-4033,,(11) 4163-4033,"Rua das Margaridas, 182",Jardim Flórida
EMM,Carlos Osmarinho de Lima - Prof.,4163-4082,,(11) 4163-4082,"Rua das Margaridas, 182",Jardim Flórida
EMEF,Elizabeth Parminondi Romero,"4168-1072,4168-1670",,(11) 4168-1670,"Rua Iepê, 11",Jardim Graziela
EMM,Joaquim Soares,"4195-0717,4195-0636",1640,(11) 4195-0717,"Av. da Aldeia, 905",Jardim Iracema
O.S. MATERNAIS,Vitoria Regiani A. de Moura (Inst. Favo de Mel),"4191-7320,4191-8949",,,"Rua Loterio Vieira, 71",Jardim Iracema
O.S. MATERNAIS,Marisa Odaine de O. Molina (Instituto CEDECC),"4162-1970,4162-2112",,,"Rua Buri, 03",Jardim Itaparica
EMEF,Sidney Santucci - Prof,4162-4733,,(11) 4162-4733,"Av São Fernando, 565",Jardim Julio
EMEF,Suzete da Costa e Silva Mariano,",4194-4667",,(11) 4194-4667,"Av. Giovani Attílio Tolaine, s/nº",Jardim Maria Helena
EMEIEF,Francisco Zacarioto,4552-6932,,(11) 4552-6932,"Rua Ipanema, 420",Jardim Maria Helena
O.S. MATERNAIS,Roberto Griti Medeiros (Inst. Alcançando Vidas),"4552-7012,4552-7028",,,R. Niterói - 195,Jardim Maria Helena
EMEIEF,José Emidio de Aguiar,"4163-2031,4163-2126",1380,(11) 4163-2126,"R. Augusta, 198",Jardim Maria Tereza
EMEF,João Carvalho de Lima,"4191-5736,4689-1472,4688-2064",,(11) 4191-5736,"R. Mauro José da Silva Jangada, 325",Jardim Mutinga
EMEF,José Domingos da Silveira - Prof.,"4191-2577,4689-1443",780,(11) 4191-2577,"Rua São Vicente de Paula, 100",Jardim Mutinga
EMEF,Nestor de Camargo -Pref.,"4191-8994,4191-8973",980,(11) 4191-8973,"R. Abelardo Luz, 86",Jardim Mutinga
EMEI,João Evangelista de Oliveira,4191-5865,,(11) 4191-5865,"R. Dom Feliciano, 240",Jardim Mutinga
EMM,Maria Rosa Ferreira,"4193-2790,4688-1221",,(11) 4193-2790,"R. Petrolina, 85",Jardim Mutinga
O.S. MATERNAIS,Nadir Adolfina Pereira (Inst. Favo de Mel),4375-6845,,,"Rua Abelardo Luz, 800",Jardim Mutinga
EMEF,João de Almeida Lemos,"4198-8992,4163-1142",,(11) 4198-8992,"R. Vitorino Calegare, 259",Jardim Paraíso
EMM,Leonardo Augusto M. dos Santos,"4198-8939,4163-2127",,(11) 4198-8939,"R. Vitorino Calegare, 159",Jardim Paraíso
EMEF,Deiró Felicio de Andrade- Rev,4194-3602,,(11) 4194-3602,"R. Piratininga, 103",Jardim Paulista
EMEF,Eizaburo Nomura - Prof,"4201-6786,4201-6263",,(11) 4201-6768,"Av Marginal Esquerda, 1.177",Jardim Paulista
EMEF,Onofra da Silva,"4201-1781,4194-6688",,(11) 4194-6688,"Estrada dos Pinheiros, 1.450",Jardim Paulista
O.S. MATERNAIS,Marly Teixeira de Almeida (Inst. Favo de Mel),4375-6894,,,"Av. Marginal Direita, 45",Jardim Paulista
EMEF,Gilberto Florêncio-Prof.,"4163-1338,4163-1557"," 760,761,762,763,764,765",(11) 4163-1338,"Rua Indonésia, 1101",Jardim Reginalice
EMEI,Benedito Venâncio,"4198-7877,4706-1052",1450,(11) 4198-7877,"Rua Ver. José Vieira, 116",Jardim Reginalice
O.S. MATERNAIS,Edneia Matos Nogueira - Prof.ª ( Inst. Verus),"4198-9373,4706-4022",,,"Rua Mar Negro, 164",Jardim Reginalice
EMEF,Alcino Francisco de Souza - Prof.,"4194 6915,4194-6876",,(11) 4194-6915,"Av. Pres. Washington Luiz, 444",Jardim Silveira
EMEF,Alexandrino da Silveira Bueno-Prof.,"4194-1330,4162-0013",,(11) 4194-1330,"Av. Brig. Manoel R. Jordão, 836",Jardim Silveira
EMEF,Dalva Fogaça - Prof.,"4194-0002,4162-0016",,(11) 4194-0002,"Av. Brig. Manoel R. Jordão, 1.127",Jardim Silveira
EMEF,Fioravante Barletta,"4194-0701,4201-7344",660,(11) 4201-7345,"Via Taboão, 742",Jardim Silveira
EMEF,José Leandro de Barros Pimentel,"4194-0202,4201-2461",,(11) 4194-0202,"R Paiaguas, 62",Jardim Silveira
EMEF,Maria Meduneckas - Prof.ª (Complexo),4194-6099,,(11)4194-6099,"Av. Pres. Washington Luiz, 600",Jardim Silveira
EMEI,Maria Meduneckas - Prof.ª (Complexo),4194-1274,,(11) 98876-1714,"Av. Pres. Washington Luiz, 600",Jardim Silveira
EMM,Maria Meduneckas - Prof.ª (Complexo),"4201-1890,"," 1670, 1671,1672",(11) 4201-1890,"Av. Pres. Washington Luiz, 600",Jardim Silveira
O.S. MATERNAIS,"Tadataka Ito - ""Mário Ito"" (Inst. Barueri)",4194-0194,,,"Avenida Exército Brasileiro, 1000",Jardim Tupã
EMEF,Dorival Faria,"4161-6384,4168-2037",,(11) 4168-2037,"Rua Marte, 55",Jardim Tupanci
EMEI,"José Oliveira da Silva - ""Seu Zequinha""",3164-1130,,(11) 3164-1130,"Rua Terra, 326",Jardim Tupanci
INFANTIL,Centro de Referência pela 1ª Infância,3164-1131,,(11) 3164-1131,"Rua Terra, 326",Jardim Tupanci
EMM,Elisabete Rodrigues Nunes de Mello,5570-2023,1630,(11) 5570-2023,"Rua Cuiabá, 54",Jardim Votupoca
O.S. MATERNAIS,Maria do Carmo da Silva (Inst. PROJAB),"2680-9765,2680-9761",,,"Rua Cuiabá, 75",Jardim Votupoca
EMMEI,Maria de Menezes Bezerra,"4191-3212,4191-6781",,(11) 4191-3212,"R. Petrolina, 710",Jd. São Vicente - Mutinga
EMEF,Estevan Placêncio,3164-1132,,(11) 3164-1132,"Av. Arnaldo Rodrigues Bittencourt, 1428",Nova Aldeinha
EMEI,João Batista Pazinato Jr,"4191-3529,4688-1222",,(11) 4191-3529,"R. Pará, 131",Nova Aldeinha
EMEI,João Fernandes,"4194-1273,4201-7796",,(11 ) 4201-7796,"R. Glória, 670",Parque dos Camargos
O.S. MATERNAIS,Ilda Martins Holanda da Silva (Inst. Projab),2321-2490,,,"Rua Regina, 279",Parque dos Camargos
EMEF,Amador Aguiar,"4193-6573,4688-1275,4191-3689",,(11) 4193-6573,"Rua Martins Fontes, 412",Parque Imperial
EMEF,Julio Gomes Camisão,"4191-3077,4688-2078","820,822",(11) 91300-1829,"Rua Padre Cícero Romão Batista, 269",Parque Imperial
EMEF,Levy Gonçalves de Oliveira,"4191-2262,4688-2361",,(11) 4191-2261,"R.Renilde de Almeida, 400",Parque Imperial
EMEF,Marlene Pereira Santiago - Profª,"4191-2225,4191-2071",,(11) 4191-2225,"R.Tomé de Souza, 259",Parque Imperial
EMEF,Rita de Jesus (EJA),"4208-5561,4208-5562","1080,1081",(11) 4208-5561,"R. Duarte da Costa, 143",Parque Imperial
EMEI,Eminoldo Harger,"4191-3572,4688-1195",,(11) 4191-3572,"R. Padre Cicero Romão Batista, 75",Parque Imperial
EMEI,Roque Soares Souza,"4193-2512,4688-1215",,(11) 4193-2512,"R. Profª. Renilde de Almeida, 355",Parque Imperial
EMM,José Martinho Costa Pereira,"5570-2022,","1710,1711",(11) 5570-2022,"Rua José Maria, Lisboa, 10",Parque Imperial
O.S. MATERNAIS,Lázara Augusta C. Sabatine (Inst. Soleil),4193-6800,,,"R José Martinho, 365",Parque Imperial
O.S. MATERNAIS,Nelson Marques (Inst. PROJAB),"4191-1709,4195-4337",,,"R. Otacílio Alves Martins, 75",Parque Imperial
O.S. MATERNAIS,Zilá Marques de Castro (Inst. Soleil),4193-2519,,,R.Renilde de Almeida S/N,Parque Imperial
EMEF,Bruno Tolaini,"4194-1325,4194-6103",,(11) 4194-1325,"Estrada das Pitas, 699",Parque Viana
EMEF,Renato Rosa,"4194-1289,4194-1310",970,(11) 4194-1310,"Estrada das Pitas, 799",Parque Viana
EMEF,Roberto Luiz de Araujo Brandão,4201-2562,"1130,1133",(11) 4201-2562,"Av. Anibal Correia, 2.363",Parque Viana
EMEIEF,Anna Irene Mazaro de Freitas,"5570-2038,5570-2036",,(11) 940277376,"Estrada dos Pinheiros, 198",Parque Viana
O.S. MATERNAIS,Mário Bezerra (Inst. Barueri),"4552-9982,91313-0185",,,"R. das Flores, 93",Parque Viana
EMEF,Osvaldo Batista Pereira (EJA),"4194-6588,4194-6375","1840,1841",(11) 4194-6588,"R. Nelly Masieiro Fernandes, 110",Recanto Phrynea
EMM,Maria Andrelina V. Nastureles,"4194-6173,4194-5995",,(11) 4194-5995,"R. Adonilson Alves Ferreira, 190",Recanto Phrynea
O.S. MATERNAIS,Cleide Rodrigues Fagundes (Inst. Verus),4194-4941,,,"R. Nelly Masiero Fernandes, 55",Recanto Phrynea
EMEIEF,Yojiro Takaoka - Eng.,4192-3200,,(11) 4192-3200,"Av. Queimada, 505",Res. Morada dos Lagos
EMEF,Margarida Maria Maciel,"4201-5597,4168-9059,4201-5573",880,(11) 4201-5597,"R. Adonilson Alves Ferreira, 205",Vale do Sol
EMEIEF,Benedito Adherbal Farbo,"4194-3597,4201-6616",1180,(11) 4194-3597,"Rua Nilo, 99",Vale do Sol
EMEI,Rogélio Lopez Recarey,4194-5636,,(11) 4194-5636,"R. Istambul, 47",Vale do Sol
O.S. MATERNAIS,"Maria Sueli Silva -""Sueli Protetora"" (Inst. Favo de Mel)","4375-7475,4375-6861",,,"Rua Andorra, 10",Vale do Sol
EMEF,Raposo Tavares (EJA),4163-1605,,(11) 4163-1605,"R. Silveira, 15",Vila Boa Vista
O.S. MATERNAIS,Maria José Damasceno Santos (Inst.PROJAB),"5199-3107,5199-3108",,,"Rua Campos Sales, 1.648",Vila Boa Vista
EMEI,Lucineia de Oliveira,4161-4866,1600,(11) 4161-4866,"R. Doutor Parise, 120",Vila Ceres
O.S. MATERNAIS,Luzia das Graças Barbosa Pereira - Prof (Inst. Verus),"4706-4439,4199-0901",,,"R. Doutor Parise, 180",Vila Ceres
EMEI,Décio Trujillo,"4194-1272,4194-5381",,(11) 4194-1272,"Estrada Velha de Itapevi, 3.860",Vila Militar
EMEF,Alfredo do Carmo - Prof.,"4163-6957,4163-6941",,(11) 4163-6941,"R. Marta, 20",Vila Nova
EMEF,Elvira Lefevre S. Nemer - Profª (EJA),"4163-4925,4163-4924",,(11) 4163-4924,"Av.Henriqueta Mendes Guerra, 1.168",Vila São João
EMMEI,Maria José de Barros - Prof.,"4163-5358,4199-0912",,(11) 4163-5358,"Rua Santa Ursula, 179",Vila São Jorge
EMEF,Maria Elisa B. C. Chaluppe-Profª,"4198-7900,4163-7248"," 900,901,902",(11) 4198-7900,"R. Sergio Berringer, 125",Vila São Luiz 
EMEIEF,Taro Mizutori - Prof.,"4161-6499,4168-3238",,(11) 4161-6499,"R. Tailândia, 20",Vila São Luiz 
O.S. MATERNAIS,Wandeir Ribeiro (Inst. Verus),4168-3111,,,"R. Tailândia, 120",Vila São Luiz 
EMEF,Agenor Lino de Mattos - Dep.,4198-3834,,(11) 4198-3834,"R. Treze de Maio, 59",Vila Universal